query,source,source_type,author,author_handle,author_verified,title,text,language,hashtags,mentions,media_type,like_count,view_count,comment_count,share_count,repost_count,reaction_count,publication_time,fetch_time,original_url,final_score,relevance,freshness,engagement,social_reach,source_confidence,cross_source_presence,duplicate_group,cluster
open data,github,repository,ken917-star,,,ken917-star/ken917-star,"Kenoushin · 甄應辰 — East Asian culture, open data, and knowledge engineering",en,,,,,,0,,,,2026-08-08T21:01:10,2026-08-08T21:32:11.050602,https://github.com/ken917-star/ken917-star,42.5,69.65,99.26,0.0,,75.0,0.0,,bb337e74-1201-4534-a53b-b60cc012cdcb
open data,hacker_news,record,altairprime,,,Fastmail offers EU data region,"EU folks, note the warnings threaded throughout this post: this is not currently any sort of panacea against US or AU data hosting risks, but it will make your data noticeably closer to home. Fastmail (Australia) merged with Pobox (Philadelphia) resulting in a complex tri-national law&#x2F;risk surface when the EU is involved, so go in eyes wide open having read this in full. That everyone will overinterpret “EU data region” to mean “for privacy” here until reading the article is completely understandable; I empathize, having done the same.",en,,,,,,,,,,2026-08-08T17:37:27,2026-08-08T21:32:11.789884,https://www.fastmail.com/blog/fastmail-offers-eu-data-region,29.49,54.17,94.51,0.0,,70.0,0.0,,570196d0-7f99-4f75-aa4e-ee361dd7649f
open data,github,repository,qimbet,,,qimbet/city_opendata,"Lots of cities open their data portals. I'm consolidating it to pipeline equipment, staff, and material to new businesses from those that are closing.",en,,,,,,0,,,,2026-08-08T21:24:25,2026-08-08T21:32:11.050546,https://github.com/qimbet/city_opendata,27.6,51.01,99.81,0.0,,75.0,0.0,,22b9f9fa-36de-4b6c-ae75-489253d19f29
open data,hacker_news,record,soulofmischief,,,U.S. Department of Energy Launches the Genesis Open Models Initiative,"It&#x27;s difficult to tell if you are for or against access to open weight models as a general rule, so I am curious to hear your opinion on this.<p>Personally, I think we will one day come to see access to open weight models as an inalienable right to defense against tyranny, the way the second amendment is framed today. Just as encryption has become, which we similarly had to fight for in the 90s. I also understand that some regulation is sensible, but that doesn&#x27;t automatically mean mandatory restricted or supervised access; any such restriction has to be extremely well-justified as essential for protecting the liberty of the people.<p>And as far as supervised access, whether or not identification is &quot;handled by a third party&quot; or &quot;data is deleted after verification is complete&quot; is immaterial; a citizen must not be required to trust their government. Any trust can and will be abused given enough time. Our systems must be trustless, and any expansion of government must be matched by an expansion in citizens&#x27; ability to check said government, in order to stand the test of time.<p>So supervised access seems completely off the table. And this can&#x27;t just stop at access to models. Because linguistic analysis is a thing, and LLMs are scarily good at it (and existing non-AI solutions are still quite good given enough data), even the possibility that a government or other entity can save your messages means you&#x27;ve opened yourself up to deanonymization and surveillance. The chilling effect this has is undeniable, and the Supreme Court has made it clear that we cannot authorize government policy which creates chilling effects against essential liberties. Not to mention the possibilities that each category of users may be served subtly different models designed to influence them or constrain their agency&#x2F;capability.<p>We&#x27;re left with a situation where distributed access to capable open models is the only defense against a government or NGO which has access to billions of dollars of surveillance infrastructure and compute.",en,,,,,,,,,,2026-08-08T12:53:51,2026-08-08T21:32:11.789906,https://genesisopenmodels.anl.gov/,27.37,51.72,88.27,0.0,,70.0,0.0,,0132ff2e-a445-4069-83f8-a4f9246dd192
open data,hacker_news,record,dathinab,,,New Amazon Data Center Is Set to Have the Most Polluting Power Plant in the U.S.,"&gt; What&#x27;s going to replace it?<p>I&#x27;m not sure if I&#x27;m mis-reading your comment, but:<p>The idea that you &quot;need a single extremely powerful country to replace it or the US will stay in its position&quot; just doesn&#x27;t add up. I&#x27;m not fully sure if that is what you meant but I have seen that argument a few times.<p>_There doesn&#x27;t need to be a replacement._<p>For most of the worlds history there wasn&#x27;t a single leading world supper power, just regional super powers, or supper powers in specific sectors.<p>And if we speak about who could become a supper power _after the US stops being one and there isn&#x27;t one for some decades_. Then there are a bunch of candidates.<p>E.g. China has a population collapse issues, but due to it&#x27;s cut throat ruthless government and total population number and lead in factory automation might be from all countries with similar problems by margin the most likely to overcome it without power collapse.<p>E.g. the EU might have many issues (as it&#x27;s members has many issues) but the general concept has proven hugely successful. And what people forget is EU is the cherry on top of a huge stack of treaties which can be extended to 3rd parties independent of full EU membership. Like e.g. Canada, which doesn&#x27;t plan to become an EU member, but might join some of this treaties as result of the non stop hostility from the US. Same for military treaties between NATO members which are independent of NATO like e.g. JEF, which would likely be open for letting Canada join. Anyway way to many words. But the end result may be a world supper power which is not one entity but a complex lossy coupled network of countries.<p>Then there have been some other cross country unions and countries, which want to gain super power relevance but have so far been too irrelevant due to a combination of corruption, bad luck and sabotage by existing powers etc. But if we speak about going for a few decades without any leading super power and maybe prime canidates harming each other (e.g. a US &lt;-&gt; Chineese war) then they do actually have a chance.",en,,,,,,,,,,2026-08-08T14:12:16,2026-08-08T21:32:11.789896,https://www.nytimes.com/2026/08/08/climate/amazon-data-center-texas-pollution.html,25.88,49.47,89.95,0.0,,70.0,0.0,,8618662d-3bef-432c-a596-52b625bebaa9
open data,github,repository,iliana-vargas,,,iliana-vargas/chem-annotation-toolkit,"A case study & open annotation guideline framework for labeling chemistry-related AI training data across four chemistry domains: general chemistry, organic reactions, regulatory compliance data, and industrial lubrication science.",en,,,,,,0,,,,2026-08-08T21:31:34,2026-08-08T21:32:11.050569,https://github.com/iliana-vargas/chem-annotation-toolkit,24.6,46.81,99.98,0.0,,75.0,0.0,,d52f3fe6-821f-4f75-ad41-15b69c9c5b84
open data,hacker_news,record,kshk123,,,Show HN: Mail Attachment Lens: A Browser extension to manage Gmail attachments,"Recently, I was getting close to Google’s free storage limit, and the storage manager showed that Gmail was using most of it.<p>I wanted a simple way to see my attachments in one place, download the files I wanted to keep, and remove emails with attachments I no longer needed. Gmail search can find emails with attachments, but it doesn’t provide a convenient file-based view.<p>So I built a browser extension called Mail Attachment Lens. It lets me search and filter attachments, download files, and move the source emails to Bin. It also helped me uncover quite a few attachments I had completely forgotten about.<p>I decided to publish it in case anyone else finds it useful.<p>It’s free and open source. There’s no backend, so mailbox data stays between the extension and Google.",en,,,,,,0,,,,2026-08-08T11:22:01,2026-08-08T21:32:11.789918,https://github.com/kshk123/mail-attachment-lens,22.52,44.34,86.34,9.05,,70.0,0.0,,446d47cb-7db2-4fd8-bc81-d195ddf7a09f
open data,hacker_news,record,edot,,,DeepSeek V4 Flash 0731,"Subsidy doesn&#x27;t matter once the weights are released. You&#x27;re conflating subsidized training and research with subsidized inference. DeepSeek&#x27;s (allegedly government-) subsidized inference is coming to an end soon per their docs, but that&#x27;s fine because the weights are open. You can run this on-prem with very modest hardware. And you can fine-tune it to your business with your data.",en,,,,,,,,,,2026-08-08T15:13:37,2026-08-08T21:32:11.789894,https://arcprize.org/results/deepseek-v4-flash-0731,22.41,44.28,91.29,0.0,,70.0,0.0,,da0647f9-69f0-4ba3-b56c-0ddfa257d94a
open data,hacker_news,record,__MatrixMan__,,,"""Code was never the hard part"" is an insult to all programmers","Maybe the future has those as two different jobs re: hard problems.<p>- The sorcerer: Have meetings with others until you know just how valuable a solution to this hard problem actually is, characterize it well, pool resources use cases and documentation, and then work with whatever wizard (or university thereof) is known to be able to solve that kind of problem.  Have them find a solution to the hard problem and publish it.  Use that publication as context, and have your LLMs integrate the solution.<p>- The wizard: Find hard problems with adequate funding behind them.  Solve them.  Don&#x27;t worry about stakeholders or integrations--the problems are hard enough on their own.<p>It used to be we found ourselves jumping back and forth between sorcerer and wizard.  But there are so many hard problems with solutions that are now in the training data for these models.  A relevant skill for the sorcerer, besides the skills that are relevant in those meetings, is not solving hard problems head on, but being a sort of remixer of existing solutions to hard problems.<p>I think this would actually be better, because more hard problems would get solved in the open where they can benefit everybody, rather than ending up as IP-shaped ammo for zero sum games.",en,,,,,,,,,,2026-08-08T20:26:05,2026-08-08T21:32:11.789862,https://blog.senko.net/code-was-never-the-hard-part-is-an-insult-to-all-programmers,20.9,41.59,98.42,0.0,,70.0,0.0,e00d4a73-2e85-4323-a1ae-c6eed327e794,134fff5b-df88-41ba-a659-0e46ad2c2729
open data,hacker_news,record,rufasterisco,,,Oracle bans AI-generated code from OpenJDK,"I see 2 possible users for a coding AIs.<p>1. Professional coders. Us.<p>2. Non-professional users, people that need software to just get X done.<p>I am focusing on non-professionals.<p>If you look at phones you find apps to book flight, book hotels, exercise, meditate and whatever. Almost anything without a social aspect can be redone with AI.<p>Why redo with AI? Because it&#x27;s personal.<p>I don&#x27;t need 55 filters when renting an apartment on a business trips: i always want a terrace and good internet, show me price ranges, something close to where i will go to work. And after 10 times i use the app with AI, it should start to know what i like, and after 100 it should better do it.<p>I want my flights never to arrive in the evening because if it delays i don&#x27;t want to be stuck in the airport.<p>I don&#x27;t really exercise, but i really want to so my app does does need to have 80 exercises, it needs to have 2 basic ones and to use each dark pattern to make me do it.<p>I love movies, so i want to know when it&#x27;s coming out.<p>Lots of this can be done with a simple chatbot, that goes out and find planes or whatever. Yes that is going to be ALSO how we use AI.<p>The distance between app and chatbot is somewhat of a grey area.<p>An app is a specific personal tool. An app has an interface, that makes it more reliable, it persists things i like, history and personalizations. An app &quot;I built with AI&quot; likely has some IKEA effect. And much more.<p>Overall, it&#x27;s simpler, i know where buttons are because i told AI where to put it and they are big buttons, and if tomorrow i want my personal rent-a-car app to never ever propose company X that just gave me a shitty car, it will do it.<p>If i want to see the address in can ask AI, but i can also just open the app, no AI, no internet, etc.<p>I actually built some of those apps, for fun. We are not fully there for a non coder, but not too far.<p>In terms of security and code, etc, run them in a sandbox, do not put personal data, send to website for actual purchases&#x2F;actions, zero inbound network connections ....<p>I am hand-waving, but i don&#x27;t feel like i am bullshitting if say that the right security tradeoff will be found, no?<p>In any case I tried to give you an example of how coding AI can mean a sort of paradigm shift for software. I do not mean it in a prescriptive sense, &quot;this is exactly what the future will look like&quot;, it&#x27;s just feel ready to be surprised by how this will develop.",en,,,,,,,,,,2026-08-08T13:02:10,2026-08-08T21:32:11.789904,https://app.dealroom.co/news/feed/oracle-bans-ai-generated-code-from-openjdk-despite-ellison-s-claim-oracle-isn-t-writing-its-own-code,19.31,39.62,88.45,0.0,,70.0,0.0,,eb7e9309-52af-4022-8e9d-11a71426957c
